ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
6450,1555.125,407,58,6,1
6451,5321.1900000000005,1394,80,8,1
6452,630.06,168,37,6,0
6453,233288.94,44349,98,8,1
6454,193.245,49,23,7,0
6455,2248.08,558,46,6,1
6456,4287.09,1122,76,7,1
6457,5139.39,1199,76,7,1
6458,425.265,124,31,6,1
6459,248.4,66,33,6,0
6460,151.53,39,12,3,0
6461,108.105,34,19,4,0
6462,1736.58,488,55,7,1
6463,2073.03,570,50,7,1
6464,715.29,145,38,7,0
6465,3436.665,992,78,8,1
6466,184.05,53,23,5,1
6467,5595.81,1401,82,7,1
6468,1062.75,274,44,8,1
6469,581.835,181,42,7,1
6470,23.085,7,4,4,0
6471,2195.52,503,60,7,1
6472,328.215,106,29,7,0
6473,587.79,134,27,6,0
6474,1553.475,473,58,8,1
6475,3280.905,760,59,7,1
6476,306.12,93,13,3,1
6477,604.65,191,47,6,1
6478,1097.01,351,41,5,1
6479,1022.505,249,39,5,1
6480,2016.765,637,57,6,1
6481,2765.085,784,66,7,1
6482,40.995,14,14,4,0
6483,6707.715,1880,90,8,1
6484,1619.7,377,42,5,1
6485,3333.03,960,57,6,1
6486,1497.855,428,48,7,1
6487,1027.29,232,44,6,0
6488,1372.665,393,57,7,1
6489,928.23,237,51,7,1
6490,298.26,80,27,8,1
6491,1872.63,395,41,6,1
6492,2770.005,430,21,6,1
6493,6858.465,1697,100,7,1
6494,3729.075,968,69,7,1
6495,1564.725,427,40,7,1
6496,1423.7549999999999,340,42,8,1
6497,4807.275,1331,79,7,1
6498,2234.115,567,51,6,1
6499,4012.905,1079,84,7,1
6500,9700.995,2027,74,7,1
6501,9516.96,2318,90,8,1
6502,7008.015,1863,77,7,1
6503,9249.135,2340,87,7,1
6504,2148.495,670,74,7,1
6505,673.695,159,28,5,1
6506,4357.575,989,73,8,1
6507,6470.3550000000005,1483,78,7,1
6508,2178.54,605,60,7,1
6509,3521.055,1003,73,7,1
6510,873.54,201,27,5,1
6511,10517.88,2449,85,8,1
6512,373.635,93,27,5,0
6513,7446.27,1623,65,7,1
6514,8517.075,2314,77,7,1
6515,631.59,166,38,6,1
6516,2444.82,763,81,8,1
6517,8554.035,2174,89,7,1
6518,7398.555,1742,82,7,1
6519,20.655,6,7,4,0
6520,234.9,66,28,6,1
6521,909.0450000000001,254,46,5,1
6522,877.665,225,39,5,1
6523,2847.81,738,76,8,1
6524,1657.71,396,48,5,1
6525,4486.32,1143,84,7,1
6526,244.41,64,24,4,0
6527,44.04,15,9,3,0
6528,10510.38,2355,76,7,1
6529,7064.955,1663,77,7,1
6530,1068.9,254,51,7,1
6531,462.36,111,33,7,1
6532,178.98,44,15,3,0
6533,1279.605,293,38,6,1
6534,471.15,108,25,5,1
6535,6141.1050000000005,1275,78,7,1
6536,384.945,94,19,4,1
6537,1846.455,474,35,5,1
6538,11602.38,2759,101,8,1
6539,3331.545,887,72,8,1
6540,11325.06,2374,95,8,1
6541,948.72,270,30,4,1
6542,2209.575,481,12,5,1
6543,2732.415,809,83,8,1
6544,12.075,5,4,2,0
