ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Cluster
5069,199.875,55,24,5,3,0
5070,784.725,197,53,7,3,2
5071,1259.85,311,50,7,3,2
5072,275.28,60,19,5,3,0
5073,503.115,146,34,5,3,0
5074,141.51,52,28,6,3,0
5075,118.365,36,19,4,3,0
5076,402.345,84,20,4,3,0
5077,172.185,50,19,4,3,0
5078,187.38,39,10,3,3,0
5079,318.945,91,31,5,3,0
5080,1189.905,248,38,5,3,2
5081,105.75,33,17,4,3,0
5082,975.96,256,49,6,3,2
5083,1208.865,300,57,8,3,2
5084,515.445,142,40,6,3,2
5085,556.395,149,41,5,3,2
5086,460.755,120,39,7,3,2
5087,230.025,36,7,2,3,0
5088,325.485,64,13,5,3,0
5089,35.55,12,8,2,3,0
5090,604.98,164,36,6,3,2
5091,241.2,83,34,7,3,2
5092,935.865,224,37,4,3,0
5093,701.595,186,44,5,3,2
5094,623.25,143,35,5,3,0
5095,1443.51,349,60,7,3,2
5096,533.85,148,40,6,3,2
5097,1317.69,319,41,7,3,2
5098,36.87,11,6,2,2,3
5099,1146.45,275,41,7,3,2
5100,696.78,179,34,5,3,0
5101,421.515,120,26,5,3,0
5102,1051.35,234,32,6,3,2
5103,2580.09,593,72,7,3,1
5104,637.515,179,40,5,3,2
5105,381.105,69,16,5,3,0
5106,2259.795,492,58,8,3,1
5107,414.495,124,37,6,3,2
5108,607.14,145,21,5,3,0
5109,1329.555,354,60,8,3,2
5110,2309.34,551,67,7,3,1
5111,488.115,100,22,4,3,0
5112,1370.82,325,58,7,3,2
5113,78.465,25,14,5,3,0
5114,141.0,41,17,6,3,0
5115,198.01500000000001,57,20,5,3,0
5116,105.855,28,11,4,2,3
5117,365.985,115,33,6,3,2
5118,222.105,62,21,5,3,0
5119,444.75,110,16,5,3,0
5120,134.085,45,19,4,3,0
5121,598.14,115,24,6,3,0
5122,1797.465,434,37,6,3,2
